month_start_local,bay_side,inland,combined,same_stock_all_oakland
2024-01-01 00:00:00-08:00,53885.87759755613,10177.612223029146,64063.48982058527,63783.08288230021
2024-02-01 00:00:00-08:00,50363.71824888766,9476.787061881721,59840.50531076938,59613.63477574566
2024-03-01 00:00:00-08:00,53003.04277364218,9914.380933460827,62917.42370710301,62720.69268088579
2024-04-01 00:00:00-07:00,50579.169170525165,9606.342138547298,60185.51130907247,59831.29905621396
2024-05-01 00:00:00-07:00,51823.51229290951,10357.700721835809,62181.21301474532,61295.723375486
2024-06-01 00:00:00-07:00,49423.88580682206,11613.795813560742,61037.681620382806,58445.2311190359
2024-07-01 00:00:00-07:00,52187.189169537705,14258.570164781175,66445.75933431888,61755.153612767936
2024-08-01 00:00:00-07:00,50306.64406870233,11898.22875282015,62204.87282152248,59471.84651754716
2024-09-01 00:00:00-07:00,49706.708330721834,11487.577859916342,61194.28619063818,58794.48276723616
2024-10-01 00:00:00-07:00,54499.27444118512,11470.164414759685,65969.43885594481,64560.56139803625
2024-11-01 00:00:00-07:00,50446.95889097612,9627.989490505432,60074.948381481554,59671.6777401832
2024-12-01 00:00:00-08:00,53157.05431311257,10203.869529507745,63360.923842620316,62904.02024262483
