scenario,hours,households,kwh_per_home,cooling_kwh_per_home,peak_kw_per_home,extrapolated_hours
published_2018_full,8760,100.0,9749.145008506968,3532.9037585151086,3.1055683127426392,0
noaa_summer_2018,2928,100.0,4362.628755637746,2486.90804485292,3.176505413613612,0
noaa_summer_2024,2928,100.0,4649.456092173621,2779.7079859842406,3.631715761144378,66
temperature_only_2024,2928,100.0,4649.460746279551,2779.709412671702,3.631715761144378,66
