end_use,rmse_kw,reference_kwh,predicted_kwh
ceiling_fan,0.2750119368586532,1866.8686961257188,2028.0485723178945
clothes_dryer,2.0364158892127358,9373.47706785212,9122.89973415339
clothes_washer,0.13534352215087186,752.1744191528628,773.6740131897121
cooling,10.633484567512475,70409.14256077723,67542.58286462659
cooling_fans_pumps,2.3773783259670984,12948.349194405138,12199.940927422937
dishwasher,0.40007444468326303,2500.8196234306697,2461.8268838634335
ev_charging,0.0,0.0,0.0
freezer,0.31415508638065726,6966.93206842428,7571.214572597119
heating,7.175096875460282,23956.4226710588,33587.930877697385
heating_fans_pumps,0.5051623748270551,1569.542051446737,2256.5755957891965
heating_hp_bkup,0.30931719522380474,78.77041919547865,204.0157775904052
heating_hp_bkup_fa,0.006551397075489418,1.7199855618721336,4.309303019587006
hot_water,1.4488511624203786,16296.994544296489,15877.987811194867
hot_water_solar_th,0.0026707365810973082,11.712031664108501,13.905759161917835
lighting_exterior,0.11802314321751219,2030.3990751538286,1743.9804897916397
lighting_garage,0.04497402206086727,493.7548417932418,454.40991432386886
lighting_interior,2.109328823273396,23620.14100942959,21767.792437748583
mech_vent,0.009467687339592851,614.1869016570917,613.9110912907158
permanent_spa_heat,0.10373753215525028,1791.1925348050856,1946.734386023845
permanent_spa_pump,0.13580339720331627,2739.5815016880556,2831.540911102843
plug_loads,1.6091844902343535,59999.38193710349,59391.50610305385
pool_heater,0.0,0.0,0.0
pool_pump,0.2854929341718608,5717.983824050763,5714.7645276214025
range_oven,0.8516425809254122,6293.005852475168,5694.789116438894
refrigerator,0.7899459163009908,21475.807746989296,22146.764534050566
television,1.3543298479229655,20507.294377305836,21439.469028885876
well_pump,0.005903944768167802,1068.4037450829487,1068.110349400585
unallocated,0.00016860365972713514,3.133115711108888,3.1866697043867047
