end_use,kwh_per_home,share_pct
ceiling_fan,59.132386025526365,0.6065391988110576
clothes_dryer,275.38657304365546,2.82472537646488
clothes_washer,22.92372415539731,0.23513573893294634
cooling,3007.1515376726693,30.84528474085339
cooling_fans_pumps,525.7522208424391,5.392803372846287
dishwasher,74.1722839589152,0.7608080902909282
ev_charging,0.0,0.0
freezer,220.69774555706445,2.2637651339116065
heating,686.1597708962919,7.038153297520537
heating_fans_pumps,45.31353555689853,0.4647949693779155
heating_hp_bkup,2.4363168319535804,0.024990056357020896
heating_hp_bkup_fa,0.05223591988269103,0.0005358000095096616
hot_water,479.4800529976553,4.918175415169923
hot_water_solar_th,0.39421119687052525,0.004043546347157029
lighting_exterior,55.12193551689944,0.5654027657686989
lighting_garage,13.99648566726359,0.14356628868532015
lighting_interior,670.1122819342027,6.87354923277346
mech_vent,18.389744603308202,0.18862930633672564
permanent_spa_heat,56.724683529996106,0.5818426485655814
permanent_spa_pump,83.85244768215568,0.8601005278820576
plug_loads,1784.7076138095172,18.306298780582363
pool_heater,0.0,0.0
pool_pump,171.02363994881208,1.7542424468974385
range_oven,176.52187802500575,1.8106395778396491
refrigerator,656.4975181636074,6.733898383814754
television,631.0256731071587,6.472625779558459
well_pump,32.02360370089016,0.32847602197881787
unallocated,0.09490816292995154,0.0009735024235164828
