sample_models,sample_mean_kwh,full_county_mean_kwh,sample_discrepancy_pct,sampling_standard_error_kwh
64,9099.384363126483,10118.025130387181,-10.067584870899793,532.4413886253388
256,9749.141899824905,10118.025130387181,-3.645802672049303,263.621404624422
