scenario,hours,households,kwh_per_home,cooling_kwh_per_home,peak_kw_per_home,extrapolated_hours
published_2018_full,8760,100.0,9099.38768537215,3248.759108836543,2.946765190652316,0
noaa_summer_2018,2928,100.0,4031.446160486026,2261.6411847678905,2.895824164996081,0
noaa_summer_2024,2928,100.0,4288.635569320579,2524.2120155459447,3.331981453527559,66
temperature_only_2024,2928,100.0,4288.63594791796,2524.2113540200808,3.331981453527559,66
