end_use,rmse_kw,reference_kwh,predicted_kwh
ceiling_fan,0.2953744109810304,2006.7245320050001,2172.8982354525288
clothes_dryer,2.470129737350964,5274.824014713244,5370.251045331868
clothes_washer,0.2511042544856999,708.7786332964253,735.6520305494596
cooling,9.554062367391728,64581.322529163146,63703.97867079814
cooling_fans_pumps,2.16030439625612,12149.158813603064,11781.175109642556
dishwasher,0.7616565684472565,2246.9043134177055,2161.8701716327478
ev_charging,0.0,0.0,0.0
freezer,0.2862009643722493,6347.103417963928,6897.61403913516
heating,6.065497325984925,22070.784445471258,29364.14791252156
heating_fans_pumps,0.478630350825548,1297.0399952110486,1919.1705859327703
heating_hp_bkup,0.21174863405149455,32.43098652366729,83.24178044707091
heating_hp_bkup_fa,0.004820984790524771,0.9106814181205937,2.0533745923793174
hot_water,1.9800438758943784,14452.358230553391,13915.85086197353
hot_water_solar_th,0.0,0.0,0.0
lighting_exterior,0.11931019301298924,2052.791280274735,1763.2172748404096
lighting_garage,0.041501366655071925,422.04978900377944,388.53484466194277
lighting_interior,2.114887252860211,22829.426075232146,21055.120354965482
mech_vent,0.010527045020789497,565.1261962031888,565.228199590491
permanent_spa_heat,0.18066497300352918,3119.4266140246264,3390.3183518505966
permanent_spa_pump,0.3412324995049679,6883.620859820766,7114.646632200913
plug_loads,1.3631185382768916,52478.35650846885,51976.76383428472
pool_heater,0.08799555201654993,1762.3824517857252,1761.3995822660615
pool_pump,0.4534561780714587,9082.033527080317,9076.883071837434
range_oven,1.5167763367026958,5796.1596423543415,5019.341330763651
refrigerator,0.6501492203095104,19789.945463833235,20148.491533777844
television,1.277121580991293,17947.613750228516,18761.251496011275
well_pump,0.0049674853778110305,898.9150911363953,898.6687010766478
unallocated,0.00022603888806392992,3.064353339834253,3.1954666580889906
