end_use,kwh_per_home,share_pct
ceiling_fan,63.42889010009104,0.6970676741475368
clothes_dryer,159.71742431811123,1.755254637351777
clothes_washer,21.713929697247366,0.23863066887625742
cooling,2756.663034764537,30.295038854054425
cooling_fans_pumps,492.0960740720062,5.4080130563409465
dishwasher,65.63472160304755,0.7213092119215841
ev_charging,0.0,0.0
freezer,201.06267200162102,2.209628592095731
heating,614.2777733130139,6.750759441764469
heating_fans_pumps,37.77833719174434,0.4151744985267024
heating_hp_bkup,1.0006427302093206,0.010996813904499506
heating_hp_bkup_fa,0.025756018156302036,0.00028305221237805357
hot_water,421.9150622448206,4.636741249337866
hot_water_solar_th,0.0,0.0
lighting_exterior,55.72990350021584,0.6124577326209019
lighting_garage,11.95549322945675,0.13138788721658679
lighting_interior,647.549863824514,7.116411413764596
mech_vent,16.925835765668047,0.18601071138970607
permanent_spa_heat,98.78828356212372,1.0856585847082019
permanent_spa_pump,210.69147047761177,2.3154466845754005
plug_loads,1561.4822827460875,17.160300634912723
pool_heater,52.712655992059034,0.5792989354305454
pool_pump,271.64088580152367,2.9852655496611464
range_oven,157.99179116929747,1.7362903596610066
refrigerator,599.7838521486781,6.591474864983157
television,551.7832063917521,6.063959746201152
well_pump,26.94348022930192,0.29610212424090127
unallocated,0.09436247925539985,0.0010370200997930176
