month_start_local,ceiling_fan,clothes_dryer,clothes_washer,cooling,cooling_fans_pumps,dishwasher,ev_charging,freezer,heating,heating_fans_pumps,heating_hp_bkup,heating_hp_bkup_fa,hot_water,hot_water_solar_th,lighting_exterior,lighting_garage,lighting_interior,mech_vent,permanent_spa_heat,permanent_spa_pump,plug_loads,pool_heater,pool_pump,range_oven,refrigerator,television,well_pump,unallocated,total_kwh,hours,average_kw,kwh_per_occupied_home
2024-01-01 00:00:00-08:00,407.35129838839265,2344.7323194371984,183.1671285839798,5318.608038475553,970.2784067906348,635.4791679966085,1310.8593932801118,1516.6186427633252,8211.394183247474,1305.1881094353926,18.28769240216385,0.32353542184310025,4492.820349359444,0.0,598.4932588429708,100.502895212484,6962.433112039124,167.06756296547618,403.57503558957677,610.8555561955142,15396.593556979833,0.0,1103.2285596883073,1760.4733149958965,4773.238315444594,5547.757941155172,195.60048497911257,0.892255075143327,64335.82011474533,744,86.47287649831361,643.3582011474533
2024-02-01 00:00:00-08:00,380.978859167286,2200.436192118199,171.79236006243136,4996.523089469123,911.5139827188929,593.6467727707825,1223.0841621932811,1418.8163828444622,7569.434066329653,1203.7248051083702,17.001735339152837,0.3012382973617701,4203.097397026184,0.0,559.8808681757838,94.1870026766357,6525.119761728557,156.28895265193904,377.54975893675174,571.4855212780382,14405.493833613387,0.0,1032.0398135888834,1646.149972851429,4465.914807673277,5223.358936216775,182.98097083309833,0.8343639300017753,60131.63560759974,696,86.39602817183871,601.3163560759974
2024-03-01 00:00:00-08:00,406.36864603670017,2371.475421289041,184.87456469240627,5430.245734685807,990.2691561398647,632.1718172065032,1297.2182968103011,1514.9316761863229,6936.847029948293,1105.7890128130791,16.208580375398984,0.2881638901153655,4491.82704321353,0.0,597.7797938428594,101.122809500657,7006.244531230549,166.91573110810123,403.30825403215675,610.5359517395116,15386.16379669509,0.0,1103.0721696448431,1757.4784874478412,4770.030657244825,5676.711747302659,195.4809275722829,0.8898542300607537,63154.2498548788,743,84.99899038341695,631.542498548788
2024-04-01 00:00:00-07:00,394.1650787778393,2272.5842557776987,177.47974432320558,5195.931571851787,947.3859916414111,614.5629703836954,1266.9717777366964,1467.7175128038937,5996.296766195066,955.5526920475291,13.882752714181523,0.24505294730834878,4347.958873192813,0.0,579.1870635093774,97.34494894455985,6743.776436883841,161.67825780870763,390.56239726316426,591.1705387367762,14901.04369529661,0.0,1067.6341866385953,1703.3116439236628,4619.576561558936,5385.558438685974,189.29072790610545,0.8633095025725512,60081.733247052005,720,83.44685173201667,600.81733247052
2024-05-01 00:00:00-07:00,407.35129838839265,2344.7323194371984,183.1671285839798,6022.275501173632,1089.3071815070984,635.4791679966085,1310.8593932801118,1516.6186427633252,4975.448132840991,794.5352430007574,11.86068655120466,0.20850088791735572,4492.820349359444,0.0,598.4932588429708,100.502895212484,6962.433112039124,167.06756296547618,403.57503558957677,610.8555561955142,15396.593556979833,0.0,1103.2285596883073,1760.4733149958965,4773.238315444594,5547.757941155172,195.60048497911257,0.892255075143327,61405.375394933864,744,82.53410671362079,614.0537539493387
2024-06-01 00:00:00-07:00,393.8097013931491,2299.6198422758757,179.1942984482003,6410.609568601306,1153.9137012928477,611.3322308827721,1254.5576055952552,1467.8884163091307,3158.3975172935584,509.44669227222886,8.698621966760506,0.15410586614991223,4348.487520241293,0.0,579.1873643847705,97.99658917126868,6789.795482440174,161.67803358512023,390.6082091308615,591.325542480435,14909.680656496592,0.0,1067.5849354254042,1700.427021862825,4622.00754780623,5515.451779838478,189.29023183507846,0.8620450839348701,58412.00526197969,720,81.12778508608291,584.1200526197969
2024-07-01 00:00:00-07:00,407.35129838839265,2344.7323194371984,183.1671285839798,9381.481077436762,1657.533147548209,635.4791679966085,1310.8593932801118,1516.6186427633252,1763.2354407369437,287.6276514435376,5.480818208194191,0.09431005032284959,4492.820349359444,0.0,598.4932588429708,100.502895212484,6962.433112039124,167.06756296547618,403.57503558957677,610.8555561955142,15396.593556979833,0.0,1103.2285596883073,1760.4733149958965,4773.238315444594,5547.757941155172,195.60048497911257,0.892255075143327,61607.19259439623,744,82.80536639031752,616.0719259439622
2024-08-01 00:00:00-07:00,407.17360969604755,2358.250112686287,184.02440564647716,7273.335074934829,1301.4595034138938,633.8637982461468,1304.6523072093912,1516.7040945159438,1731.7479411788538,283.52499872157307,5.6444314075393995,0.09815935270530611,4493.084672883683,0.0,598.4934092806674,100.82871532583842,6985.442634817291,167.0674508536825,403.5979415234254,610.9330580673436,15400.912037579825,0.0,1103.2039340817116,1759.0310039654778,4774.453808568242,5612.704611731424,195.60023694359907,0.8916228658244865,59206.72357549772,744,79.57892953695931,592.0672357549772
2024-09-01 00:00:00-07:00,393.9873900854942,2286.1020490267874,178.33702138570294,7877.432871209265,1401.504490651501,612.9476006332337,1260.7646916659758,1467.8029645565123,1971.4717616058624,321.2759845606783,6.115083033682116,0.10694323321037116,4348.223196717054,0.0,579.1872139470739,97.67076905791426,6766.785959662007,161.67814569691393,390.5853031970129,591.2480406086056,14905.362175896602,0.0,1067.6095610319996,1701.8693328932438,4620.792054682583,5450.505109262225,189.29047987059195,0.8626772932537107,58649.518871464985,720,81.45766509925693,586.4951887146499
2024-10-01 00:00:00-07:00,407.35129838839265,2344.7323194371984,183.1671285839798,11416.10023166191,2001.6988760778202,635.4791679966085,1310.8593932801118,1516.6186427633252,2324.7056545015303,376.23122196367586,6.595970405663928,0.11426973548060558,4492.820349359444,0.0,598.4932588429708,100.502895212484,6962.433112039124,167.06756296547618,403.57503558957677,610.8555561955142,15396.593556979833,0.0,1103.2285596883073,1760.4733149958965,4773.238315444594,5547.757941155172,195.60048497911257,0.892255075143327,64637.18637331834,744,86.87793867381498,646.3718637331834
2024-11-01 00:00:00-07:00,394.613731885364,2286.667611577021,178.35592450196035,5220.756244792353,952.1105293790775,612.9999815877649,1262.5035298520024,1469.7093100825462,5703.450262918666,910.2059263711812,13.527273252545118,0.23961120753135517,4349.689716152998,0.0,579.9026566171951,97.70353856994049,6769.078111159882,161.84197834854814,390.9610828819062,591.8178367223394,14924.42615022086,0.0,1067.7163519876901,1701.9973414106582,4626.711831800334,5451.551952504673,189.43440385484763,0.8638320386680536,59908.83672167854,721,83.09131306751532,599.0883672167854
2024-12-01 00:00:00-08:00,407.17360969604755,2358.250112686287,184.02440564647716,5359.394454585038,977.7071360004643,633.8637982461468,1304.6523072093912,1516.7040945159438,7226.52557719408,1150.6358548805124,16.55776786812516,0.2934930123332891,4493.084672883683,0.0,598.4934092806674,100.82871532583842,6985.442634817291,167.0674508536825,403.5979415234254,610.9330580673436,15400.912037579825,0.0,1103.2039340817116,1759.0310039654778,4774.453808568242,5612.704611731424,195.60023694359907,0.8916228658244865,63342.02775002888,744,85.13713407261946,633.4202775002888
