end_use,kwh_per_home,share_pct
ceiling_fan,72.1525176778619,0.6939200566623496
clothes_dryer,321.42542241152177,3.0912787870873966
clothes_washer,25.553597594582605,0.24575932290995145
cooling,3237.6565040056494,31.137857097981186
cooling_fans_pumps,564.8252482609125,5.432153733393501
dishwasher,78.6717470536844,0.756618132397739
ev_charging,46.6065675764666,0.4482342827992874
freezer,205.01757862704423,1.9717372914529185
heating,678.4194953414801,6.524635727197162
heating_fans_pumps,47.867105400474095,0.4603573868351802
heating_hp_bkup,2.0950620999320773,0.020149062817000914
heating_hp_bkup_fa,0.044728083555754646,0.0004301681393015434
hot_water,459.388873590917,4.418129310684763
hot_water_solar_th,0.39534354564668817,0.0038021793892358807
lighting_exterior,66.84250044220651,0.6428514650229674
lighting_garage,16.183884126545866,0.15564698435402397
lighting_interior,789.9203259875351,7.596984485216305
mech_vent,20.107524100616963,0.19338222299512078
permanent_spa_heat,48.94082393698881,0.47068377393402305
permanent_spa_pump,73.16649266055471,0.7036718657480121
plug_loads,1936.684493215624,18.625881071390822
pool_heater,0.0,0.0
pool_pump,136.66339781580996,1.3143473825739171
range_oven,192.55429142813898,1.8518727983263392
refrigerator,659.5289761565431,6.342957934584047
television,684.7224767723922,6.585254058648986
well_pump,32.27516860979827,0.31040340034274155
unallocated,0.10397992092462052,0.0010000171157145607
