end_use,rmse_kw,reference_kwh,predicted_kwh
ceiling_fan,0.3416998038325918,2277.2676678225134,2475.085975767714
clothes_dryer,2.2930451884737875,11022.960590714112,10601.890619425763
clothes_washer,0.1427675692462911,845.978405689759,858.5065257355204
cooling,11.170445137193047,75565.97932540045,73699.540886095
cooling_fans_pumps,2.474274784480628,13863.408896938183,13336.196710166492
dishwasher,0.41078020343368793,2649.0883025931553,2613.5476231903717
ev_charging,0.6255370029382091,1556.3312220117705,1563.0383128258534
freezer,0.2918316089925859,6471.948208757208,7033.29179031592
heating,6.6297690443633925,23827.892615632005,32834.828043128655
heating_fans_pumps,0.5075948717870491,1683.7358323762533,2355.4416707920495
heating_hp_bkup,0.23040585470037311,61.784504995631316,182.3880162498749
heating_hp_bkup_fa,0.0049296976982242495,1.3208809971982474,3.900779504295785
hot_water,1.4101112520560455,15650.189250627915,15192.67680132944
hot_water_solar_th,0.002678408116870687,11.745673795094417,13.945702647779255
lighting_exterior,0.1431223386530296,2462.1639543526576,2114.781836746247
lighting_garage,0.051226968040712126,570.6857693004969,526.1303322612347
lighting_interior,2.457109675784891,27839.147968808375,25669.64373517461
mech_vent,0.008314952321778521,671.4857647108208,671.3206724798365
permanent_spa_heat,0.0895008950780689,1545.4103437103213,1679.5960129913124
permanent_spa_pump,0.11849718161906857,2390.464041798228,2470.69201110437
plug_loads,1.7368179338284386,65105.4039201083,64449.86933824525
pool_heater,0.0,0.0,0.0
pool_pump,0.22813816772140966,4569.191632368028,4566.61323880861
range_oven,0.9123366635887273,6874.333283824699,6206.793911361451
refrigerator,0.736028141307167,21617.488109807557,22227.289895985195
television,1.4531484347471675,22241.05389489432,23270.57658783427
well_pump,0.005950144914248353,1076.7958080408712,1076.501322305313
unallocated,0.00017667172461005763,3.394200590654007,3.51049580296523
