scenario,hours,households,kwh_per_home,cooling_kwh_per_home,peak_kw_per_home,extrapolated_hours
published_2018_full,8760,100.0,10397.814126443407,3802.481752266562,3.2822704832663656,0
noaa_summer_2018,2928,100.0,4637.576108865865,2641.138958605148,3.377250905359083,0
noaa_summer_2024,2928,100.0,4938.856659259994,2948.4453914023143,3.8517772074219625,66
temperature_only_2024,2928,100.0,4938.86607684032,2948.4467689293724,3.8517772074219625,66
