month_start_local,ceiling_fan,clothes_dryer,clothes_washer,cooling,cooling_fans_pumps,dishwasher,ev_charging,freezer,heating,heating_fans_pumps,heating_hp_bkup,heating_hp_bkup_fa,hot_water,hot_water_solar_th,lighting_exterior,lighting_garage,lighting_interior,mech_vent,permanent_spa_heat,permanent_spa_pump,plug_loads,pool_heater,pool_pump,range_oven,refrigerator,television,well_pump,unallocated,total_kwh,hours,average_kw,kwh_per_occupied_home
2024-01-01 00:00:00-08:00,613.102922119565,2721.574513197275,216.26690536197478,8124.760900529768,1740.785411872733,669.5448066208488,392.18048796354617,1741.2610432641748,15580.778164522715,1119.6191336805105,73.39428702394183,1.5684201756590805,3900.0682803480536,3.3598022673938,567.6504616779554,136.90136656722765,6690.81355847371,170.77795268987143,415.653547876698,621.3522648542506,16445.01578151229,0.0,1160.7200259562828,1639.00168539768,5600.759612133378,5760.160779934894,274.11518647990806,0.8833871943181818,76382.07068969663,744,102.66407350765677,763.8207068969663
2024-02-01 00:00:00-08:00,573.4414995313809,2550.904038627199,202.7687318800349,7531.412140570914,1618.186967609457,625.5139037944269,369.28101610978007,1628.9722571455095,11784.48915210677,846.3644540440395,56.740278083169265,1.213012348799692,3649.290468919548,3.14174632482064,531.027949546599,128.4138166962661,6270.5780988101415,159.76012970709226,388.84937075814736,581.3057090248956,15385.831377438079,0.0,1085.8214736571874,1531.0589576178409,5240.081380523588,5422.4543235684205,256.4301660156544,0.8262379309272633,68424.15865839069,696,98.3105727850441,684.241586583907
2024-03-01 00:00:00-08:00,611.8345673024704,2740.435942478967,218.01631583278376,8941.181379234342,1870.8757184473598,666.2557196839097,401.13698961604166,1739.3242110513117,9447.316516033576,678.1458337212016,47.592216403340736,1.0187475751939885,3901.9653047629135,3.354786056771254,566.9737957940388,138.1927877496854,6732.991747790712,170.62645338319177,415.37880732989845,621.0271495766622,16431.570020651987,0.0,1160.55541865789,1630.348496764907,5596.7341418046235,5890.604802361118,273.9476730855631,0.8817162124060401,70898.28725936287,743,95.42165176226497,708.9828725936287
2024-04-01 00:00:00-07:00,593.272210825473,2636.2392759122367,209.51781862100484,13698.120283680493,2605.2393873349124,647.5293552076379,380.7307520366631,1685.1166502048422,6243.828356560275,446.79022862715897,32.65623309697756,0.6985603714545474,3774.6793746338008,3.25077429610722,549.3392056122772,132.65759163174687,6480.695828641926,165.26904119848183,402.2514593174227,601.3289869395732,15915.423579475186,0.0,1123.270749806735,1585.0303215077604,5420.420496328484,5591.307551751657,265.2726762477812,0.8548125626227225,71190.79156243069,720,98.87609939226485,711.907915624307
2024-05-01 00:00:00-07:00,613.102922119565,2721.574513197275,216.26690536197478,28722.133029715173,4989.162487723699,669.5448066208488,392.18048796354617,1741.2610432641748,2403.3812012852363,169.77025462113764,15.980058883877566,0.34230757246564575,3900.0682803480536,3.3598022673938,567.6504616779554,136.90136656722765,6690.81355847371,170.77795268987143,415.653547876698,621.3522648542506,16445.01578151229,0.0,1160.7200259562828,1639.00168539768,5600.759612133378,5760.160779934894,274.11518647990806,0.8833871943181818,86041.93371169288,744,115.6477603651786,860.4193371169288
2024-06-01 00:00:00-07:00,592.8599288261508,2655.2848152525116,211.2791227189815,56588.87870779029,9371.868018701432,644.2958084104654,390.04042059420595,1685.3128648110576,615.5356481411178,41.73035332218307,9.070979125381358,0.19610538894144977,3777.932425435355,3.2457580854846744,549.3395865227598,133.99367752357782,6524.986812064023,165.2694653126804,402.29865995221354,601.4866493143853,15922.337959065682,0.0,1123.2188661368104,1576.5026727103036,5422.982251873893,5722.735228315295,265.27201856877514,0.8542059655624588,114998.80900992954,720,159.72056806934657,1149.9880900992953
2024-07-01 00:00:00-07:00,613.102922119565,2721.574513197275,216.26690536197478,87235.70156278912,14217.239421855831,669.5448066208488,392.18048796354617,1741.2610432641748,593.5353856979709,39.31353209833753,8.094518147390664,0.1739074877964763,3900.0682803480536,3.3598022673938,567.6504616779554,136.90136656722765,6690.81355847371,170.77795268987143,415.653547876698,621.3522648542506,16445.01578151229,0.0,1160.7200259562828,1639.00168539768,5600.759612133378,5760.160779934894,274.11518647990806,0.8833871943181818,151835.22269996774,744,204.07960040318244,1518.3522269996774
2024-08-01 00:00:00-07:00,612.896781119904,2731.097282867412,217.14755741096312,62254.73230240904,10278.732043613583,667.9280332222626,396.8353222423176,1741.3591505672825,611.1269320687378,40.90001274606601,8.639839719290316,0.18616371328067724,3901.6948057488307,3.3572941620825274,567.6506521331967,137.5694095131431,6712.959050184759,170.7781647469707,415.67714819409343,621.4310960416567,16448.47297130754,0.0,1160.6940841213207,1634.7378609989516,5602.040489906083,5825.874618216712,274.11485764040503,0.8830838957880499,123039.51700851167,744,165.37569490391354,1230.3951700851167
2024-09-01 00:00:00-07:00,593.066069825812,2645.762045582374,210.39847066999317,47033.775594993116,7863.749240784814,645.9125818090516,385.3855863154345,1685.2147575079498,784.8803384419587,53.61855021156358,9.340143128277038,0.20124295347632837,3776.305900034578,3.248266190795947,549.3393960675185,133.32563457766236,6502.841320352974,165.2692532555811,402.2750596348181,601.4078181269792,15918.880769270434,0.0,1123.2448079717728,1580.766497109032,5421.701374101188,5657.021390033476,265.27234740827816,0.8545092640925906,104013.058965623,720,144.46258189669862,1040.13058965623
2024-10-01 00:00:00-07:00,613.102922119565,2721.574513197275,216.26690536197478,29728.40975008254,5147.860704656537,669.5448066208488,392.18048796354617,1741.2610432641748,2826.639374099754,200.2794137610028,17.824204686262885,0.3816903262477709,3900.0682803480536,3.3598022673938,567.6504616779554,136.90136656722765,6690.81355847371,170.77795268987143,415.653547876698,621.3522648542506,16445.01578151229,0.0,1160.7200259562828,1639.00168539768,5600.759612133378,5760.160779934894,274.11518647990806,0.8833871943181818,87662.55950950364,744,117.82602084610704,876.6255950950364
2024-11-01 00:00:00-07:00,593.9300727776945,2646.3114719811692,210.41728829730388,7925.396719111072,1696.8511413751917,646.0006838856228,385.90590927984186,1687.4034646505502,11945.969134030242,858.1285540573514,57.969269213584326,1.2397448424161377,3777.686053535333,3.248266190795947,550.0180287209499,133.37219248174088,6505.036367108409,165.39884052895326,402.6621023303003,601.9874002899741,15939.238291482363,0.0,1123.357166136729,1580.898818387256,5428.669798340208,5658.114812927478,265.4740292512156,0.8556044096168209,70791.54122562337,721,98.18521667908928,707.9154122562337
2024-12-01 00:00:00-08:00,612.896781119904,2731.097282867412,217.14755741096312,8058.582397338007,1731.5479733912355,667.9280332222626,396.8353222423176,1741.3591505672825,15701.32433355156,1128.6267562425771,74.38818430543388,1.590255983571455,3901.6948057488307,3.3572941620825274,567.6506521331967,137.5694095131431,6712.959050184759,170.7781647469707,415.67714819409343,621.4310960416567,16448.47297130754,0.0,1160.6940841213207,1634.7378609989516,5602.040489906083,5825.874618216712,274.11485764040503,0.8830838957880499,76541.25961505406,744,102.87803711700815,765.4125961505406
