Profile,Date,1:00 am,2:00 am,3:00 am,4:00 am,5:00 am,6:00 am,7:00 am,8:00 am,9:00 am,10:00 am,11:00 am,12:00 pm,1:00 pm,2:00 pm,3:00 pm,4:00 pm,5:00 pm,6:00 pm,7:00 pm,8:00 pm,9:00 pm,10:00 pm,11:00 pm,12:00 am
E1,01/01/2025,0.7482,0.70555,0.6594,0.6272,0.60805,0.61645,0.64525,0.6817,0.69685,0.7075,0.712,0.7105,0.7173,0.7177,0.7202,0.7411,0.8113,0.9279,0.96815,0.95525,0.9329,0.89705,0.82535,0.7399
E1,01/02/2025,0.68245,0.6254,0.5821,0.55645,0.55735,0.58725,0.63825,0.69835,0.69425,0.6649,0.6256,0.59975,0.5856,0.5789,0.57245,0.5962,0.6784,0.82545,0.89935,0.8936,0.8905,0.8653,0.7975,0.71435
E1,01/03/2025,0.6669,0.61515,0.5723,0.5467,0.5438,0.5634,0.6056,0.66595,0.7032,0.7259,0.7284,0.7313,0.7112,0.6809,0.66385,0.6746,0.74285,0.8705,0.9229,0.9153,0.8984,0.8806,0.82115,0.7471
E1,01/04/2025,0.7092,0.652,0.6027,0.57455,0.57005,0.58815,0.62885,0.6899,0.7017,0.687,0.68325,0.67565,0.66,0.64595,0.64505,0.67845,0.76995,0.9002,0.95345,0.9439,0.9238,0.8937,0.83535,0.76185
E1,01/05/2025,0.71625,0.66215,0.6156,0.58415,0.57385,0.58815,0.63335,0.69295,0.7179,0.705,0.68,0.65415,0.64115,0.63525,0.6294,0.6657,0.7651,0.9088,0.9737,0.96455,0.9394,0.8888,0.80705,0.71095
E1,01/06/2025,0.6643,0.61515,0.5745,0.5529,0.55465,0.5975,0.6787,0.755,0.7225,0.6722,0.637,0.6139,0.59635,0.57605,0.569,0.59995,0.70285,0.8644,0.95095,0.9454,0.90875,0.8777,0.8042,0.704
E1,01/07/2025,0.6672,0.6238,0.57915,0.5514,0.55105,0.58665,0.66145,0.73065,0.67905,0.62245,0.577,0.5447,0.53275,0.5282,0.51885,0.5524,0.6514,0.8094,0.89445,0.9018,0.8902,0.8509,0.7702,0.6808
E1,01/08/2025,0.6485,0.60265,0.55795,0.5353,0.537,0.5777,0.6629,0.73635,0.69385,0.62055,0.56625,0.5376,0.52375,0.5019,0.49355,0.5181,0.6188,0.78495,0.8774,0.8886,0.886,0.86545,0.7893,0.70325
E1,01/09/2025,0.67185,0.63305,0.5965,0.57455,0.57955,0.6236,0.71565,0.78585,0.7215,0.64095,0.58815,0.5544,0.52975,0.50655,0.4957,0.52005,0.60645,0.7655,0.8641,0.874,0.86,0.8337,0.7668,0.6824
E1,01/10/2025,0.65795,0.6129,0.5733,0.54975,0.54925,0.59175,0.6792,0.7597,0.7067,0.63855,0.58845,0.54975,0.5221,0.5082,0.5018,0.5256,0.6186,0.7579,0.83255,0.84225,0.8425,0.8218,0.7724,0.6994
E1,01/11/2025,0.67505,0.63445,0.5907,0.5585,0.5514,0.571,0.6159,0.68555,0.70045,0.68385,0.6512,0.6271,0.6104,0.59515,0.5909,0.6021,0.6774,0.80835,0.8704,0.86315,0.84555,0.8316,0.791,0.72215
E1,01/12/2025,0.6911,0.64505,0.5955,0.563,0.55705,0.57745,0.6292,0.6995,0.7142,0.69665,0.6746,0.65355,0.62715,0.6195,0.60385,0.6219,0.7086,0.87935,0.95275,0.9556,0.93375,0.8981,0.8169,0.7155
E1,01/13/2025,0.6763,0.635,0.59435,0.5713,0.5748,0.62345,0.7202,0.79845,0.73765,0.66315,0.60125,0.5703,0.5577,0.5392,0.5279,0.5551,0.6576,0.8335,0.93625,0.9552,0.9432,0.9004,0.8155,0.7248
E1,01/14/2025,0.69885,0.6606,0.6232,0.6048,0.6098,0.65915,0.75635,0.83955,0.7577,0.6747,0.61205,0.57005,0.54625,0.52165,0.50735,0.5362,0.632,0.8052,0.918,0.94125,0.93415,0.9029,0.8242,0.7283
E1,01/15/2025,0.70415,0.67095,0.6303,0.6078,0.6129,0.656,0.75535,0.8318,0.7592,0.66915,0.60365,0.5637,0.53575,0.51255,0.5067,0.5299,0.61505,0.78315,0.8906,0.91205,0.90875,0.89035,0.8186,0.7341
E1,01/16/2025,0.7062,0.6694,0.62955,0.60555,0.61255,0.6632,0.76225,0.8409,0.7705,0.6757,0.6103,0.5673,0.53135,0.51085,0.4975,0.5141,0.59855,0.7695,0.87395,0.8958,0.8977,0.88285,0.8123,0.7297
E1,01/17/2025,0.6974,0.65885,0.6245,0.6049,0.60955,0.65205,0.74735,0.8217,0.766,0.69485,0.6349,0.59175,0.5699,0.55305,0.5454,0.57105,0.66125,0.81765,0.8983,0.90925,0.90205,0.886,0.835,0.75245
