Profile,Date,1:00 am,2:00 am,3:00 am,4:00 am,5:00 am,6:00 am,7:00 am,8:00 am,9:00 am,10:00 am,11:00 am,12:00 pm,1:00 pm,2:00 pm,3:00 pm,4:00 pm,5:00 pm,6:00 pm,7:00 pm,8:00 pm,9:00 pm,10:00 pm,11:00 pm,12:00 am
E1,01/01/2011,0.72365,0.65455,0.6204,0.6096,0.5946,0.6224,0.65095,0.7107,0.82165,0.87055,0.9294,0.95105,0.98285,0.9568,0.944,0.93255,0.9972,1.10985,1.1115,1.0773,1.058,0.9935,0.9218,0.78325
E1,01/02/2011,0.6756,0.6057,0.5752,0.55725,0.5647,0.5807,0.62915,0.70145,0.8282,0.93015,0.9605,0.95495,0.97685,0.99275,0.98335,1.01345,1.0498,1.15955,1.223,1.18255,1.11365,1.02625,0.9027,0.75125
E1,01/03/2011,0.6314,0.6001,0.58695,0.5564,0.56835,0.6565,0.74995,0.81315,0.81465,0.8207,0.82395,0.76345,0.75115,0.76815,0.7168,0.73405,0.84005,1.06795,1.16925,1.1802,1.1415,1.1245,0.9355,0.763
E1,01/04/2011,0.66985,0.60725,0.5801,0.5865,0.623,0.6973,0.8294,0.92825,0.8662,0.8067,0.7671,0.7279,0.7323,0.6749,0.66445,0.67115,0.81045,1.00615,1.1117,1.1801,1.11295,1.0364,0.89965,0.7497
E1,01/05/2011,0.61925,0.60365,0.58015,0.57705,0.5909,0.6712,0.8549,0.9241,0.85985,0.85295,0.8158,0.76205,0.71675,0.68225,0.7009,0.76375,0.82775,1.0192,1.1235,1.1917,1.1436,1.1087,0.9577,0.7776
E1,01/06/2011,0.671,0.5974,0.5978,0.60485,0.60215,0.6854,0.83055,0.92785,0.91455,0.8813,0.86155,0.8416,0.7878,0.76345,0.77355,0.8029,0.90455,1.1212,1.2652,1.2067,1.17305,1.0362,0.92305,0.7897
E1,01/07/2011,0.6709,0.60355,0.5834,0.5671,0.58035,0.66475,0.8012,0.93205,0.9086,0.86645,0.8408,0.82955,0.78965,0.78095,0.76545,0.7847,0.87005,1.06325,1.1784,1.11235,1.10455,1.0325,0.9298,0.7924
E1,01/08/2011,0.68335,0.62385,0.6079,0.5884,0.58705,0.6065,0.68425,0.8146,0.89045,0.97885,0.9879,0.97025,0.9424,0.9192,0.9445,0.9513,1.00305,1.14255,1.19135,1.1599,1.0996,1.03935,0.90665,0.79075
E1,01/09/2011,0.6967,0.6445,0.6306,0.60695,0.5934,0.6196,0.69655,0.7897,0.90345,0.9726,0.961,0.9579,0.94375,0.974,0.97615,0.94765,1.00585,1.18195,1.22355,1.2422,1.2385,1.1277,0.95385,0.8236
E1,01/10/2011,0.70125,0.6528,0.6319,0.60715,0.622,0.7134,0.8927,0.96355,0.9113,0.9233,0.8311,0.8109,0.77455,0.72335,0.72305,0.76345,0.87935,1.11415,1.2176,1.2277,1.2218,1.1346,0.93965,0.7859
E1,01/11/2011,0.67085,0.62065,0.6054,0.57875,0.5966,0.6863,0.8333,0.9176,0.88065,0.8575,0.80855,0.77595,0.7739,0.8009,0.8,0.80345,0.902,1.09375,1.19625,1.21875,1.1398,1.0442,0.8838,0.75415
E1,01/12/2011,0.6453,0.58025,0.5601,0.56075,0.57075,0.6466,0.772,0.8749,0.8176,0.8123,0.74745,0.74455,0.7137,0.6788,0.6856,0.7147,0.7592,0.9521,1.04005,1.05875,1.0693,1.01335,0.83825,0.7077
E1,01/13/2011,0.6211,0.5698,0.54745,0.5407,0.54935,0.6276,0.7766,0.8652,0.8177,0.77915,0.7651,0.7767,0.72325,0.7036,0.71725,0.7126,0.78405,0.98495,1.04615,1.06695,1.06295,0.99195,0.8215,0.67635
E1,01/14/2011,0.6003,0.5352,0.51075,0.5025,0.51895,0.57665,0.71575,0.7942,0.7987,0.76875,0.7325,0.70215,0.6665,0.6604,0.6431,0.6514,0.70785,0.85675,0.9934,0.98595,0.91835,0.86735,0.77,0.6714
E1,01/15/2011,0.58835,0.5473,0.522,0.51045,0.5097,0.535,0.5855,0.70925,0.8043,0.8168,0.8038,0.81605,0.7757,0.76195,0.7397,0.72735,0.79,0.95065,0.99465,0.96275,0.93655,0.90845,0.7953,0.66485
