Profile,Date,1:00 am,2:00 am,3:00 am,4:00 am,5:00 am,6:00 am,7:00 am,8:00 am,9:00 am,10:00 am,11:00 am,12:00 pm,1:00 pm,2:00 pm,3:00 pm,4:00 pm,5:00 pm,6:00 pm,7:00 pm,8:00 pm,9:00 pm,10:00 pm,11:00 pm,12:00 am
E1,01/01/2000,0.7462,0.6272,0.52165,0.47795,0.4623,0.5154,0.5489,0.59705,0.6597,0.75515,0.85695,0.8746,0.856,0.8501,0.8513,0.81435,0.89675,1.07755,1.153,1.1246,1.05845,0.9501,0.82915,0.68815
E1,01/02/2000,0.5968,0.52495,0.49045,0.47535,0.4825,0.52535,0.5625,0.64935,0.78975,0.84085,0.86535,0.82925,0.81415,0.7574,0.73315,0.7861,0.87315,1.11845,1.1836,1.1424,1.1044,1.02595,0.87215,0.67655
E1,01/03/2000,0.54905,0.48845,0.4656,0.46175,0.4722,0.58245,0.716,0.8032,0.75715,0.73285,0.71595,0.6714,0.6416,0.62455,0.62335,0.66355,0.7632,1.0949,1.2284,1.17955,1.1277,1.0079,0.81315,0.6321
E1,01/04/2000,0.5323,0.46455,0.44595,0.45535,0.47085,0.577,0.7772,0.868,0.77705,0.7159,0.67195,0.6513,0.64095,0.63,0.60235,0.6402,0.75495,1.0528,1.171,1.1766,1.10445,0.97955,0.7985,0.63155
E1,01/05/2000,0.5266,0.47115,0.4544,0.4337,0.454,0.5654,0.7247,0.8119,0.71575,0.6779,0.6463,0.5991,0.61315,0.6037,0.57055,0.59625,0.7039,1.0199,1.177,1.17845,1.06935,0.96955,0.8061,0.6311
E1,01/06/2000,0.52555,0.46965,0.4427,0.44395,0.47245,0.57755,0.75045,0.85175,0.7693,0.70425,0.6722,0.6412,0.64715,0.63205,0.6396,0.6666,0.76825,1.01785,1.1261,1.0998,1.0557,0.979,0.81695,0.6573
E1,01/07/2000,0.52835,0.4768,0.4427,0.44825,0.48205,0.57355,0.7457,0.80615,0.74645,0.7045,0.6799,0.6477,0.62885,0.6098,0.58225,0.63045,0.73615,0.956,1.04605,1.0761,1.0431,0.931,0.8343,0.7092
E1,01/08/2000,0.56865,0.51525,0.48285,0.45515,0.454,0.4925,0.5816,0.7215,0.7938,0.8749,0.8583,0.81255,0.78705,0.752,0.7398,0.78065,0.8343,1.0412,1.10195,1.09935,1.0107,0.9107,0.81325,0.67725
E1,01/09/2000,0.5464,0.48245,0.4607,0.4402,0.4389,0.4746,0.5224,0.63335,0.79025,0.84315,0.8554,0.8757,0.84395,0.798,0.77775,0.74855,0.86955,1.1124,1.1281,1.12505,1.1276,0.98515,0.81105,0.61915
E1,01/10/2000,0.4812,0.43805,0.41715,0.4188,0.4495,0.54575,0.68515,0.81475,0.74425,0.7075,0.63895,0.60695,0.6381,0.62755,0.6176,0.6293,0.74675,1.0501,1.1425,1.06055,1.01395,0.94005,0.75615,0.5789
