Profile,Date,1:00 am,2:00 am,3:00 am,4:00 am,5:00 am,6:00 am,7:00 am,8:00 am,9:00 am,10:00 am,11:00 am,12:00 pm,1:00 pm,2:00 pm,3:00 pm,4:00 pm,5:00 pm,6:00 pm,7:00 pm,8:00 pm,9:00 pm,10:00 pm,11:00 pm,12:00 am
E1,01/01/2006,0.7407,0.64935,0.5823,0.5338,0.54575,0.5533,0.5745,0.61825,0.706,0.81325,0.9012,0.92885,0.94135,0.92975,0.8973,0.93005,1.04685,1.1479,1.17585,1.15145,1.1002,0.986,0.87685,0.74365
E1,01/02/2006,0.6409,0.5834,0.5479,0.51385,0.50815,0.5321,0.5891,0.67605,0.762,0.8663,0.9298,1.00925,1.0063,0.97045,0.98315,0.9513,1.01335,1.1986,1.23995,1.2328,1.16605,1.0516,0.926,0.7769
E1,01/03/2006,0.6355,0.56785,0.5478,0.5159,0.53155,0.62535,0.7542,0.8352,0.7995,0.7782,0.7817,0.7763,0.79235,0.79835,0.7784,0.8208,0.92975,1.1374,1.24415,1.22925,1.1931,1.119,0.9318,0.7293
E1,01/04/2006,0.59935,0.54785,0.52075,0.50335,0.5198,0.5816,0.7146,0.8063,0.78285,0.7373,0.73315,0.729,0.72115,0.72655,0.67225,0.66365,0.7301,1.0346,1.1547,1.14775,1.1103,1.01585,0.8747,0.72545
E1,01/05/2006,0.59375,0.55195,0.51865,0.50895,0.51745,0.5906,0.70685,0.7761,0.7391,0.7439,0.692,0.7045,0.6783,0.68175,0.66185,0.6333,0.7099,0.9994,1.0914,1.1694,1.08995,1.0014,0.86725,0.70655
E1,01/06/2006,0.6082,0.56675,0.5318,0.5242,0.5379,0.58685,0.7051,0.84575,0.781,0.77625,0.7802,0.7426,0.68715,0.65845,0.67655,0.6945,0.69615,0.9316,1.0326,1.0424,1.0126,0.9558,0.87535,0.74835
E1,01/07/2006,0.6226,0.56135,0.5231,0.50185,0.49235,0.5261,0.58475,0.6701,0.7377,0.7858,0.84105,0.85845,0.8557,0.8453,0.7616,0.7618,0.8335,1.0248,1.10985,1.0847,1.0357,0.9486,0.8428,0.74985
E1,01/08/2006,0.6155,0.5657,0.54585,0.5275,0.50775,0.53275,0.5957,0.6943,0.80835,0.86575,0.8499,0.8695,0.83365,0.7983,0.79255,0.79265,0.87805,1.0708,1.1773,1.18325,1.131,1.03445,0.8661,0.721
E1,01/09/2006,0.61285,0.5748,0.5288,0.5348,0.54375,0.62425,0.7813,0.91535,0.80585,0.7478,0.74415,0.73625,0.739,0.69595,0.6727,0.67195,0.795,1.05115,1.1928,1.19175,1.14445,1.0387,0.88455,0.74035
E1,01/10/2006,0.62465,0.5818,0.5731,0.5498,0.56555,0.63895,0.80975,0.9163,0.7981,0.75265,0.74565,0.7067,0.72025,0.6974,0.6701,0.71015,0.7953,1.01945,1.12125,1.1674,1.1195,1.0263,0.8597,0.7163
E1,01/11/2006,0.595,0.54515,0.5057,0.50615,0.51855,0.59625,0.7467,0.8262,0.7757,0.76475,0.76315,0.7408,0.755,0.718,0.70235,0.72865,0.80305,1.021,1.20965,1.16445,1.09755,1.0253,0.84535,0.68155
E1,01/12/2006,0.5928,0.5441,0.52245,0.52495,0.534,0.6045,0.77275,0.86465,0.7783,0.74045,0.72375,0.70545,0.6918,0.67415,0.6329,0.68055,0.766,0.9629,1.1499,1.14595,1.0745,1.0039,0.8393,0.6962
E1,01/13/2006,0.5931,0.5406,0.5223,0.49965,0.5263,0.60075,0.7406,0.85105,0.7732,0.7617,0.7515,0.72505,0.72115,0.6836,0.66375,0.6597,0.7569,0.93635,1.05135,1.0359,0.99465,0.89145,0.8234,0.688
E1,01/14/2006,0.6056,0.55355,0.5327,0.51385,0.5088,0.53745,0.5992,0.6799,0.8213,0.88215,0.94,0.9751,0.9731,0.9075,0.8469,0.8577,0.9074,1.04215,1.1284,1.09585,1.0327,0.96885,0.8888,0.76195
E1,01/15/2006,0.66675,0.5941,0.54195,0.5447,0.53605,0.57405,0.62565,0.73025,0.83465,0.8732,0.8685,0.86965,0.8185,0.80595,0.7919,0.78245,0.8102,1.0422,1.19725,1.15785,1.095,1.0272,0.91345,0.77805
E1,01/16/2006,0.66145,0.6049,0.5753,0.55465,0.5626,0.6219,0.74085,0.7882,0.87155,0.87115,0.8918,0.89855,0.8569,0.81925,0.7989,0.76955,0.87605,1.1032,1.2662,1.25665,1.17665,1.0926,0.93225,0.7807
E1,01/17/2006,0.61895,0.54375,0.5243,0.52325,0.5441,0.61165,0.79305,0.92595,0.815,0.76055,0.72115,0.6918,0.7131,0.6969,0.6774,0.67535,0.79495,1.03575,1.17015,1.1609,1.1118,1.031,0.8747,0.7098
E1,01/18/2006,0.58745,0.53845,0.52295,0.51395,0.5104,0.57765,0.757,0.8866,0.79255,0.74085,0.7571,0.7499,0.7352,0.71905,0.6823,0.70485,0.80625,1.0387,1.1464,1.13935,1.13705,1.01525,0.86215,0.70285
E1,01/19/2006,0.5894,0.53985,0.5511,0.5173,0.5305,0.64295,0.81275,0.9061,0.8062,0.75455,0.72775,0.7364,0.69185,0.6564,0.6763,0.6611,0.7466,0.99615,1.14185,1.15305,1.198,1.05175,0.8703,0.79545
E1,01/20/2006,0.62035,0.56485,0.55505,0.55675,0.5841,0.6833,0.831,0.9298,0.82815,0.7919,0.74485,0.7405,0.7712,0.7242,0.71315,0.69535,0.75785,1.0094,1.11155,1.08695,1.0865,1.00985,0.8913,0.77605
E1,01/21/2006,0.6699,0.6057,0.575,0.5484,0.55155,0.5895,0.6507,0.7443,0.874,0.9515,0.94625,0.90375,0.9154,0.87685,0.82845,0.8145,0.80935,0.98575,1.0733,1.07015,0.99585,0.93555,0.85225,0.74755
E1,01/22/2006,0.6551,0.60285,0.5712,0.54925,0.5519,0.5988,0.63595,0.7325,0.84525,0.8941,0.9039,0.89915,0.8128,0.8416,0.7658,0.79345,0.8039,1.05555,1.1466,1.18395,1.12405,1.00885,0.87805,0.7186
E1,01/23/2006,0.6101,0.57275,0.55255,0.54445,0.55575,0.64905,0.8193,0.90265,0.80695,0.7181,0.7089,0.7217,0.7211,0.6925,0.66345,0.6586,0.73855,0.95695,1.1189,1.14835,1.12075,0.97605,0.83005,0.68375
E1,01/24/2006,0.6091,0.54545,0.5222,0.5092,0.5325,0.60945,0.7702,0.90075,0.7879,0.74365,0.69505,0.7028,0.68915,0.62885,0.6101,0.63335,0.68815,0.8767,1.0786,1.08835,1.0514,0.9624,0.7947,0.65355
E1,01/25/2006,0.53925,0.5003,0.4931,0.50315,0.5294,0.60625,0.79245,0.91485,0.80405,0.73885,0.74915,0.75045,0.70125,0.6765,0.6423,0.6775,0.7167,0.947,1.10025,1.1185,1.03145,0.96425,0.81285,0.66125
E1,01/26/2006,0.5705,0.53535,0.5132,0.4967,0.5239,0.5943,0.76285,0.87735,0.7647,0.76515,0.7813,0.722,0.69025,0.67675,0.6343,0.68975,0.7832,1.0136,1.10795,1.1129,1.0861,0.993,0.82365,0.69565
E1,01/27/2006,0.61365,0.56725,0.53865,0.5285,0.5463,0.62325,0.7798,0.90435,0.8584,0.8537,0.8209,0.77475,0.74525,0.69225,0.6888,0.65675,0.72995,0.9425,1.08775,1.06985,1.02775,0.98755,0.9057,0.7588
E1,01/28/2006,0.6512,0.58885,0.55005,0.5418,0.55195,0.5924,0.667,0.7936,0.88625,0.98545,0.9568,0.9303,0.9141,0.8575,0.84155,0.8383,0.87215,1.01425,1.09555,1.06165,1.00185,0.9545,0.8435,0.77695
E1,01/29/2006,0.6742,0.60145,0.54925,0.53365,0.5245,0.568,0.6127,0.7337,0.81565,0.83655,0.9158,0.8954,0.84515,0.81635,0.782,0.7682,0.86295,1.06365,1.1557,1.12835,1.11905,1.0131,0.8612,0.7408
E1,01/30/2006,0.6032,0.55825,0.52665,0.5008,0.5264,0.61185,0.76605,0.88605,0.7969,0.75565,0.7869,0.80305,0.7962,0.78935,0.7353,0.74935,0.8055,0.98945,1.11825,1.1769,1.14805,1.03155,0.8868,0.72575
E1,01/31/2006,0.58855,0.56095,0.5409,0.522,0.5345,0.66555,0.8223,0.91735,0.8186,0.78455,0.7557,0.74585,0.73815,0.7047,0.6678,0.67655,0.7464,0.94645,1.14005,1.15695,1.08625,1.02035,0.85565,0.69185
E1,02/01/2006,0.59705,0.5562,0.5223,0.51365,0.53665,0.63115,0.7831,0.904,0.80155,0.75375,0.71805,0.7549,0.73055,0.7143,0.69505,0.7361,0.7969,0.97165,1.11665,1.14265,1.0616,0.98315,0.81485,0.67535
E1,02/02/2006,0.5713,0.5266,0.5013,0.48455,0.51585,0.58765,0.7333,0.8389,0.74195,0.6922,0.7083,0.6915,0.68765,0.65715,0.6435,0.6425,0.7008,0.87145,1.005,1.039,1.02405,0.9462,0.81945,0.6614
E1,02/03/2006,0.56295,0.5181,0.4906,0.47585,0.50255,0.573,0.69595,0.8163,0.7543,0.75375,0.721,0.71285,0.69045,0.67485,0.62595,0.629,0.6774,0.85795,0.99535,0.999,0.96095,0.8714,0.81325,0.69205
E1,02/04/2006,0.5907,0.5445,0.52035,0.5048,0.498,0.52285,0.5627,0.7074,0.79905,0.86515,0.8376,0.8482,0.77315,0.7513,0.72615,0.70325,0.75135,0.91925,1.056,1.07015,1.02695,0.9262,0.84155,0.7452
E1,02/05/2006,0.6449,0.5829,0.5465,0.53465,0.5506,0.57525,0.63845,0.71665,0.86455,0.88575,0.88665,0.85925,0.7869,0.77895,0.76205,0.71775,0.74745,0.8845,1.0526,1.0797,1.06905,0.98745,0.83085,0.70595
E1,02/06/2006,0.5804,0.5377,0.52955,0.51735,0.54255,0.632,0.7859,0.86835,0.7697,0.738,0.7007,0.6923,0.6817,0.67765,0.649,0.6326,0.6846,0.8763,1.0872,1.1174,1.09275,0.97505,0.78755,0.6791
E1,02/07/2006,0.56775,0.5236,0.4966,0.4961,0.52055,0.60475,0.76005,0.8285,0.7222,0.6896,0.65445,0.61835,0.62575,0.5865,0.58545,0.5577,0.6093,0.79155,1.0372,1.06505,1.07285,0.94275,0.78665,0.63375
E1,02/08/2006,0.54055,0.51535,0.4959,0.49585,0.5155,0.5979,0.7803,0.79695,0.73515,0.7112,0.69115,0.65405,0.62475,0.60735,0.5932,0.60475,0.6514,0.83975,1.0629,1.0798,1.01785,0.93695,0.7757,0.66715
E1,02/09/2006,0.5525,0.5112,0.4955,0.494,0.5137,0.5962,0.77125,0.82935,0.73965,0.6738,0.6121,0.63695,0.6344,0.6127,0.5627,0.55475,0.627,0.7808,0.99725,1.00065,0.9874,0.884,0.7898,0.63575
E1,02/10/2006,0.53085,0.49005,0.48255,0.4706,0.494,0.57445,0.7399,0.8289,0.70905,0.6762,0.63625,0.65535,0.6211,0.6169,0.62895,0.5987,0.6398,0.7986,1.00895,1.0175,0.93655,0.8668,0.7805,0.6676
E1,02/11/2006,0.55,0.53035,0.4996,0.48565,0.49055,0.52815,0.59745,0.7401,0.79225,0.812,0.7974,0.77735,0.7321,0.68965,0.6747,0.69005,0.73725,0.8592,0.99,0.966,0.93945,0.85205,0.75555,0.6856
E1,02/12/2006,0.57725,0.52785,0.48495,0.4773,0.492,0.5262,0.5653,0.6682,0.77365,0.8055,0.809,0.7871,0.75705,0.751,0.7227,0.71685,0.76015,0.91105,1.1182,1.09545,1.0455,0.9546,0.80425,0.67175
E1,02/13/2006,0.56535,0.5014,0.48225,0.4593,0.4731,0.54645,0.69215,0.7982,0.70045,0.6823,0.7026,0.67295,0.65345,0.6863,0.63285,0.6539,0.6754,0.8049,1.023,1.06805,1.00865,0.9248,0.8074,0.6461
E1,02/14/2006,0.5447,0.4821,0.4707,0.46615,0.48415,0.5838,0.77025,0.82365,0.70825,0.65725,0.6772,0.6363,0.61285,0.58965,0.5763,0.5556,0.63495,0.8107,1.0455,1.06995,0.99035,0.9025,0.7799,0.63025
E1,02/15/2006,0.56825,0.5267,0.50785,0.4947,0.5247,0.6173,0.7972,0.88535,0.76505,0.71555,0.6704,0.6598,0.6556,0.61345,0.61345,0.6116,0.67105,0.8596,1.0782,1.14295,1.11475,1.0285,0.8542,0.7094
E1,02/16/2006,0.5999,0.5528,0.5374,0.5404,0.5489,0.6612,0.8305,0.9413,0.8352,0.7868,0.75635,0.72205,0.71615,0.67285,0.6555,0.63455,0.70545,0.90005,1.0987,1.1248,1.092,0.98975,0.85375,0.70785
E1,02/17/2006,0.62275,0.5933,0.56385,0.53815,0.55215,0.643,0.81165,0.87825,0.8337,0.8045,0.7926,0.7838,0.7757,0.7994,0.79105,0.82095,0.89145,1.02935,1.14115,1.1298,1.08875,1.01865,0.8998,0.75845
E1,02/18/2006,0.67045,0.59665,0.583,0.57515,0.56915,0.6107,0.7034,0.7995,0.89075,0.9352,0.86795,0.85605,0.865,0.8422,0.84225,0.8342,0.88585,0.98005,1.08155,1.1067,1.0693,0.9889,0.8588,0.7737
