Profile,Date,1:00 am,2:00 am,3:00 am,4:00 am,5:00 am,6:00 am,7:00 am,8:00 am,9:00 am,10:00 am,11:00 am,12:00 pm,1:00 pm,2:00 pm,3:00 pm,4:00 pm,5:00 pm,6:00 pm,7:00 pm,8:00 pm,9:00 pm,10:00 pm,11:00 pm,12:00 am
E1,01/01/2005,0.7909,0.71485,0.652,0.61665,0.61245,0.6375,0.6699,0.73395,0.80985,0.88005,0.9084,0.94215,0.9315,0.8978,0.8729,0.8806,0.94155,1.1274,1.19985,1.17025,1.10465,1.0436,0.9516,0.81725
E1,01/02/2005,0.7081,0.64535,0.5906,0.56045,0.5645,0.59715,0.6358,0.7429,0.8475,0.90025,0.9917,1.0152,1.00065,0.9682,0.94855,0.9505,1.0133,1.20415,1.24265,1.21245,1.2232,1.13715,0.95075,0.81585
E1,01/03/2005,0.6811,0.5964,0.56815,0.5586,0.56565,0.6312,0.7828,0.89805,0.88805,0.8462,0.86515,0.82795,0.8241,0.7937,0.79245,0.80645,0.9226,1.14825,1.2495,1.22605,1.21245,1.1594,0.931,0.7754
E1,01/04/2005,0.6778,0.59615,0.57145,0.55795,0.57355,0.6931,0.83595,0.8945,0.8497,0.84335,0.83,0.8112,0.78225,0.7634,0.7244,0.7639,0.8669,1.11475,1.22785,1.23205,1.2336,1.1075,0.9429,0.78325
E1,01/05/2005,0.67125,0.6223,0.58655,0.5623,0.57905,0.64985,0.8176,0.92605,0.90955,0.8549,0.77995,0.734,0.77395,0.7229,0.73045,0.78055,0.8657,1.0748,1.203,1.2258,1.1596,1.08245,0.93115,0.7571
E1,01/06/2005,0.66005,0.59995,0.57745,0.5405,0.57245,0.64945,0.81785,0.9172,0.8446,0.7982,0.7741,0.72465,0.7001,0.67765,0.6668,0.70345,0.81765,1.1027,1.22705,1.18765,1.18415,1.0838,0.9389,0.84155
E1,01/07/2005,0.66345,0.61105,0.5814,0.5734,0.57915,0.6455,0.8002,0.9391,0.86795,0.87345,0.8654,0.8497,0.81465,0.8667,0.84175,0.82105,0.92015,1.075,1.1616,1.14295,1.10005,1.02825,0.92035,0.7855
E1,01/08/2005,0.69765,0.6288,0.57685,0.5528,0.55855,0.58915,0.65415,0.7439,0.8458,0.89445,0.91435,0.89725,0.8838,0.9343,0.9158,0.9468,0.9858,1.1551,1.18105,1.1346,1.08425,1.04,0.92945,0.7824
E1,01/09/2005,0.7033,0.6286,0.5938,0.5493,0.54855,0.5736,0.6262,0.7063,0.8426,0.88925,0.94575,0.9501,0.87425,0.85355,0.80735,0.8174,0.86965,1.09425,1.2318,1.178,1.1506,1.0554,0.8947,0.72975
E1,01/10/2005,0.64495,0.57275,0.53465,0.5383,0.5579,0.6504,0.8053,0.88935,0.83755,0.78815,0.7788,0.80415,0.7976,0.74045,0.72185,0.7586,0.87155,1.0812,1.23265,1.2302,1.1433,1.04015,0.8723,0.6892
E1,01/11/2005,0.62715,0.59855,0.5465,0.5244,0.55105,0.6297,0.78605,0.8758,0.83345,0.8333,0.797,0.73145,0.72715,0.6997,0.70585,0.7421,0.8476,1.0635,1.1851,1.1831,1.16505,1.08265,0.90445,0.7749
E1,01/12/2005,0.645,0.6093,0.61105,0.59465,0.6055,0.70175,0.8636,0.971,0.87985,0.8116,0.7725,0.70505,0.66785,0.66995,0.6822,0.6995,0.7774,1.0338,1.1743,1.21435,1.1946,1.1069,0.95065,0.7762
E1,01/13/2005,0.67405,0.60855,0.60155,0.57575,0.60205,0.67875,0.8578,0.98275,0.93495,0.8874,0.8641,0.85905,0.852,0.79405,0.81615,0.7955,0.91925,1.1649,1.2452,1.2483,1.19675,1.07395,0.9593,0.8013
E1,01/14/2005,0.70035,0.6195,0.60125,0.5785,0.60275,0.6915,0.8746,0.9983,0.91025,0.8413,0.7893,0.75655,0.7242,0.714,0.72095,0.7061,0.8399,1.03785,1.15155,1.14835,1.11665,1.06355,0.97305,0.8363
E1,01/15/2005,0.73595,0.65685,0.5949,0.60485,0.59765,0.63355,0.6904,0.79425,0.9057,0.96645,0.96315,0.96205,0.97285,0.9097,0.89,0.88095,0.971,1.1414,1.21615,1.19515,1.1056,1.02905,0.90665,0.80015
E1,01/16/2005,0.7074,0.63665,0.5939,0.58935,0.60115,0.62805,0.6918,0.77485,0.8876,0.93055,0.92685,0.86885,0.8497,0.8426,0.8181,0.82835,0.8634,1.03,1.16735,1.168,1.15875,1.0498,0.9324,0.77275
E1,01/17/2005,0.64405,0.5943,0.57375,0.5694,0.5875,0.62875,0.7151,0.7993,0.86605,0.9212,0.9001,0.8641,0.87,0.839,0.83455,0.81655,0.9412,1.13465,1.2682,1.21545,1.1617,1.0382,0.88355,0.6936
E1,01/18/2005,0.6121,0.57645,0.5564,0.55035,0.5567,0.6449,0.81485,0.91895,0.83895,0.8043,0.74505,0.6778,0.7018,0.67525,0.6481,0.674,0.76355,1.00635,1.1581,1.1695,1.138,1.0387,0.90345,0.74515
E1,01/19/2005,0.6257,0.56,0.5453,0.53775,0.5628,0.6508,0.8286,0.9312,0.8279,0.78515,0.7934,0.7351,0.70805,0.6845,0.64985,0.66255,0.73995,0.99325,1.1779,1.151,1.11515,1.0584,0.8665,0.7277
E1,01/20/2005,0.63955,0.5837,0.55075,0.5471,0.55905,0.63075,0.80555,0.9066,0.8165,0.7718,0.7564,0.7273,0.688,0.6604,0.6379,0.64495,0.77445,0.9889,1.1456,1.14015,1.12315,1.02975,0.83005,0.724
