Profile,Date,1:00 am,2:00 am,3:00 am,4:00 am,5:00 am,6:00 am,7:00 am,8:00 am,9:00 am,10:00 am,11:00 am,12:00 pm,1:00 pm,2:00 pm,3:00 pm,4:00 pm,5:00 pm,6:00 pm,7:00 pm,8:00 pm,9:00 pm,10:00 pm,11:00 pm,12:00 am
E1,01/01/2026,0.6032,0.55515,0.51075,0.483,0.46395,0.46255,0.46495,0.48625,0.5337,0.568,0.5931,0.61205,0.61435,0.6053,0.62735,0.65775,0.7034,0.7739,0.7798,0.7452,0.72155,0.6903,0.62855,0.55815
E1,01/02/2026,0.5216,0.4788,0.4429,0.4162,0.41465,0.42735,0.45875,0.49215,0.5138,0.5145,0.5204,0.5257,0.54435,0.54455,0.5602,0.5908,0.63885,0.7214,0.75065,0.7427,0.71315,0.688,0.63485,0.5663
E1,01/03/2026,0.5323,0.4782,0.44025,0.41325,0.40025,0.405,0.4264,0.46625,0.50715,0.5601,0.5953,0.6001,0.5694,0.56175,0.5648,0.57865,0.62625,0.70405,0.7404,0.71375,0.69645,0.6703,0.6252,0.5611
E1,01/04/2026,0.5373,0.48935,0.4433,0.42705,0.41985,0.4226,0.44145,0.4777,0.5251,0.5798,0.64755,0.6908,0.6861,0.6888,0.6817,0.6987,0.7272,0.83045,0.8537,0.83815,0.7978,0.75025,0.6742,0.58205
E1,01/05/2026,0.53955,0.4889,0.45335,0.4449,0.4355,0.4513,0.5047,0.5675,0.5533,0.5366,0.5433,0.574,0.56835,0.5859,0.6229,0.65565,0.7302,0.83085,0.8608,0.8416,0.7842,0.7375,0.6623,0.5903
E1,01/06/2026,0.5537,0.5159,0.4838,0.4542,0.44115,0.45775,0.5157,0.5647,0.5307,0.48465,0.46895,0.46745,0.4594,0.46055,0.4458,0.46405,0.53765,0.6849,0.75255,0.7454,0.73385,0.713,0.63685,0.563
E1,01/07/2026,0.53985,0.50575,0.46765,0.44765,0.4533,0.47785,0.5343,0.5902,0.55505,0.51665,0.48805,0.4728,0.4643,0.4579,0.44615,0.47565,0.55735,0.6955,0.7917,0.7916,0.7887,0.7527,0.6747,0.594
E1,01/08/2026,0.55965,0.5311,0.49415,0.4804,0.4796,0.4951,0.5642,0.6305,0.59395,0.5466,0.4989,0.48645,0.47455,0.4741,0.47155,0.4811,0.5773,0.70195,0.7993,0.8369,0.82895,0.7906,0.7194,0.6381
E1,01/09/2026,0.60925,0.5735,0.53765,0.523,0.51845,0.54945,0.62515,0.6958,0.65285,0.59075,0.53865,0.51455,0.5076,0.5042,0.49405,0.51155,0.5911,0.7282,0.79365,0.79475,0.78845,0.7813,0.72275,0.6491
E1,01/10/2026,0.6284,0.5923,0.5582,0.5441,0.54585,0.54415,0.58925,0.64865,0.67215,0.66615,0.6249,0.5853,0.5546,0.53235,0.53595,0.551,0.6128,0.74005,0.79515,0.79975,0.76905,0.7672,0.7263,0.6467
E1,01/11/2026,0.6155,0.5798,0.5434,0.51825,0.5116,0.52175,0.5653,0.6201,0.6227,0.62085,0.6114,0.58435,0.5799,0.5889,0.566,0.5727,0.6337,0.75315,0.8084,0.804,0.7914,0.74835,0.6728,0.5827
E1,01/12/2026,0.56105,0.523,0.49025,0.4792,0.49565,0.53115,0.6039,0.67275,0.6281,0.5847,0.5437,0.5119,0.48395,0.45375,0.44325,0.48155,0.5687,0.711,0.78835,0.8009,0.79205,0.7532,0.6771,0.5999
E1,01/13/2026,0.59545,0.5415,0.5013,0.48215,0.48015,0.5157,0.59665,0.6608,0.59775,0.53775,0.49335,0.46425,0.44295,0.42865,0.42465,0.44585,0.51305,0.65065,0.73715,0.7506,0.74865,0.72465,0.65805,0.5739
E1,01/14/2026,0.55175,0.5218,0.49145,0.46555,0.466,0.50425,0.5748,0.65115,0.599,0.52795,0.48385,0.46915,0.4425,0.4247,0.4315,0.45225,0.5164,0.6297,0.7194,0.7344,0.73375,0.71875,0.659,0.5739
E1,01/15/2026,0.54805,0.51765,0.47935,0.461,0.4645,0.49465,0.5653,0.62635,0.5824,0.52005,0.4748,0.44615,0.4264,0.40445,0.409,0.4263,0.5002,0.62885,0.6967,0.7129,0.7032,0.6971,0.6244,0.54365
