Profile,Date,1:00 am,2:00 am,3:00 am,4:00 am,5:00 am,6:00 am,7:00 am,8:00 am,9:00 am,10:00 am,11:00 am,12:00 pm,1:00 pm,2:00 pm,3:00 pm,4:00 pm,5:00 pm,6:00 pm,7:00 pm,8:00 pm,9:00 pm,10:00 pm,11:00 pm,12:00 am
E1,01/01/2021,0.8521,0.7649,0.72425,0.6912,0.7028,0.7205,0.76055,0.80645,0.8306,0.83475,0.83495,0.82345,0.8212,0.7978,0.8034,0.84025,0.971,1.1515,1.182,1.1604,1.0973,1.0259,0.93725,0.8363
E1,01/02/2021,0.7528,0.68655,0.6459,0.6288,0.62945,0.6567,0.70115,0.7537,0.8218,0.86415,0.86685,0.9093,0.9008,0.88725,0.90985,0.9386,1.0495,1.19965,1.22235,1.14545,1.09775,1.0288,0.93025,0.807
E1,01/03/2021,0.72935,0.66535,0.62475,0.61,0.61145,0.6329,0.68665,0.75065,0.7939,0.82005,0.8318,0.84535,0.8597,0.84515,0.8431,0.86285,0.98425,1.18515,1.2065,1.17775,1.13,1.0263,0.89245,0.7654
E1,01/04/2021,0.69945,0.64885,0.61605,0.60815,0.6099,0.6416,0.71375,0.8124,0.8703,0.87135,0.88575,0.88465,0.88935,0.85925,0.8155,0.8397,0.92285,1.13175,1.202,1.1507,1.1277,1.02475,0.89485,0.79435
E1,01/05/2021,0.7149,0.66955,0.64225,0.6368,0.64605,0.69985,0.77115,0.8682,0.91335,0.87305,0.8118,0.78545,0.76775,0.7349,0.7319,0.78465,0.9125,1.1234,1.18945,1.1665,1.12925,1.05515,0.9294,0.81865
E1,01/06/2021,0.75955,0.6834,0.66285,0.65755,0.6685,0.73135,0.8075,0.8911,0.92745,0.91335,0.8648,0.87545,0.8651,0.82655,0.81265,0.82905,0.9404,1.14545,1.2059,1.16615,1.1277,1.0328,0.9205,0.81895
E1,01/07/2021,0.74595,0.6975,0.66905,0.6621,0.6726,0.726,0.7994,0.90015,0.94165,0.9032,0.87115,0.83245,0.7994,0.76245,0.7323,0.7492,0.87375,1.1066,1.188,1.16505,1.1165,1.0356,0.92105,0.80545
E1,01/08/2021,0.7377,0.67925,0.65135,0.645,0.64915,0.7015,0.75525,0.861,0.8873,0.8794,0.84665,0.813,0.7925,0.7628,0.7277,0.74375,0.8655,1.0622,1.1318,1.1265,1.0878,1.01565,0.92725,0.82265
E1,01/09/2021,0.77825,0.7117,0.6724,0.65595,0.66885,0.7026,0.7491,0.8331,0.8618,0.8837,0.86315,0.8511,0.8173,0.77165,0.7775,0.81135,0.90065,1.09375,1.1702,1.1448,1.10235,1.02215,0.9397,0.8363
E1,01/10/2021,0.7687,0.7099,0.68495,0.6717,0.6731,0.7027,0.74935,0.8336,0.87815,0.89465,0.90645,0.89345,0.8936,0.8666,0.84635,0.8723,0.9779,1.1953,1.1998,1.1669,1.13925,1.03155,0.90345,0.7995
E1,01/11/2021,0.72385,0.68125,0.6434,0.63965,0.65675,0.71155,0.80075,0.9226,0.91615,0.8923,0.83735,0.80615,0.76975,0.72,0.70085,0.74265,0.89345,1.11465,1.18805,1.17,1.1117,0.9987,0.86805,0.76015
E1,01/12/2021,0.69995,0.6353,0.6123,0.60825,0.62295,0.6779,0.75265,0.8548,0.89615,0.89375,0.87105,0.83925,0.7906,0.7605,0.7419,0.7945,0.9088,1.0895,1.1446,1.1162,1.0559,0.9644,0.8421,0.7319
E1,01/13/2021,0.67185,0.6317,0.6124,0.5949,0.5978,0.6572,0.72215,0.81985,0.8432,0.81145,0.74725,0.7271,0.7031,0.658,0.6406,0.6654,0.77585,0.9881,1.0724,1.0298,0.994,0.905,0.81205,0.71725
E1,01/14/2021,0.6555,0.5968,0.5793,0.57295,0.57145,0.63145,0.7121,0.7944,0.79455,0.7514,0.72015,0.7064,0.6753,0.6408,0.6146,0.6505,0.7466,0.9594,1.053,1.0443,1.001,0.90735,0.8043,0.7095
E1,01/15/2021,0.65505,0.6235,0.59405,0.5871,0.59775,0.6473,0.72875,0.8122,0.8333,0.7872,0.73535,0.7004,0.68105,0.64915,0.63995,0.65265,0.7469,0.94985,1.03305,0.99855,0.95455,0.8901,0.80015,0.70355
E1,01/16/2021,0.6498,0.60505,0.57865,0.5678,0.5699,0.59805,0.6422,0.7091,0.74445,0.73335,0.71035,0.7082,0.6818,0.6522,0.65455,0.6674,0.7542,0.9195,0.9912,0.96425,0.94385,0.88585,0.80775,0.7135
E1,01/17/2021,0.6489,0.5967,0.5664,0.56055,0.5654,0.58985,0.6388,0.709,0.74585,0.74685,0.73615,0.7183,0.70405,0.6707,0.6592,0.6786,0.75195,0.94155,0.99975,0.9863,0.9414,0.88285,0.79285,0.68305
E1,01/18/2021,0.60775,0.5699,0.5398,0.5436,0.5482,0.57855,0.63165,0.69345,0.6958,0.69455,0.6778,0.66795,0.6564,0.6316,0.63525,0.6694,0.7565,0.9447,1.03155,0.9997,0.95905,0.87495,0.7608,0.6702
E1,01/19/2021,0.59815,0.5632,0.5495,0.5398,0.56545,0.60565,0.67885,0.7564,0.75505,0.7176,0.68805,0.6881,0.66265,0.6359,0.61205,0.63975,0.74295,0.9383,1.0403,1.03445,0.9843,0.9015,0.7932,0.69795
E1,01/20/2021,0.64345,0.60315,0.5831,0.58955,0.6037,0.66325,0.75035,0.83755,0.83075,0.77935,0.74105,0.6994,0.6629,0.6271,0.61675,0.6356,0.73425,0.95645,1.0494,1.0293,1.0036,0.92415,0.832,0.7396
E1,01/21/2021,0.6627,0.62915,0.61215,0.61475,0.6354,0.6965,0.784,0.86535,0.8572,0.81635,0.7423,0.7168,0.6889,0.6569,0.6622,0.6793,0.78635,0.99505,1.105,1.086,1.05825,0.9761,0.86915,0.7574
E1,01/22/2021,0.6927,0.64735,0.61885,0.6069,0.6077,0.6563,0.72845,0.844,0.87645,0.84745,0.8313,0.8565,0.84015,0.81985,0.8056,0.8538,0.9177,1.06185,1.14415,1.118,1.06635,1.0147,0.90935,0.797
E1,01/23/2021,0.71975,0.66905,0.641,0.63035,0.6332,0.65805,0.7226,0.80435,0.8485,0.84935,0.8286,0.8323,0.804,0.75595,0.7512,0.752,0.8286,1.0349,1.1285,1.1164,1.0887,1.0082,0.90915,0.82885
E1,01/24/2021,0.75515,0.70065,0.682,0.67095,0.66575,0.69615,0.7371,0.84025,0.8998,0.91335,0.95145,0.99935,1.01185,1.01725,0.99965,1.0464,1.1169,1.2412,1.2581,1.21655,1.16285,1.05685,0.9341,0.81935
E1,01/25/2021,0.7515,0.69595,0.67945,0.67655,0.69135,0.7509,0.84625,0.95125,0.99015,0.9521,0.91355,0.8885,0.8639,0.80525,0.79835,0.8357,0.95285,1.1913,1.309,1.28265,1.2475,1.12875,0.99025,0.87305
E1,01/26/2021,0.8069,0.7534,0.73795,0.7408,0.76705,0.83495,0.9366,1.04375,1.02075,0.9599,0.92405,0.91865,0.916,0.91495,0.94605,0.99195,1.11935,1.3108,1.357,1.33015,1.2677,1.16925,1.04245,0.90715
E1,01/27/2021,0.82445,0.7703,0.72465,0.7121,0.7105,0.763,0.8283,0.9322,0.9813,0.9785,0.9554,0.9722,0.97785,0.98245,0.99725,1.0665,1.1443,1.2496,1.2989,1.2358,1.1693,1.071,0.93675,0.8284
E1,01/28/2021,0.7614,0.7084,0.66665,0.6551,0.6667,0.71615,0.78385,0.90045,0.97665,0.99615,1.01,0.99185,0.9895,0.9515,0.9173,0.94595,1.02325,1.18135,1.24215,1.20765,1.1557,1.0652,0.9445,0.83265
E1,01/29/2021,0.757,0.70895,0.68105,0.65435,0.67225,0.7183,0.8013,0.90275,0.9255,0.88765,0.8595,0.83855,0.816,0.77985,0.7634,0.7716,0.8366,1.0287,1.1558,1.1346,1.1162,1.0562,0.96315,0.85985
E1,01/30/2021,0.78065,0.7233,0.6972,0.6764,0.6803,0.70815,0.752,0.82975,0.8775,0.8652,0.8457,0.80705,0.7644,0.7208,0.72825,0.748,0.8453,1.01565,1.09075,1.0695,1.04395,0.98385,0.90085,0.78545
