Profile,Date,1:00 am,2:00 am,3:00 am,4:00 am,5:00 am,6:00 am,7:00 am,8:00 am,9:00 am,10:00 am,11:00 am,12:00 pm,1:00 pm,2:00 pm,3:00 pm,4:00 pm,5:00 pm,6:00 pm,7:00 pm,8:00 pm,9:00 pm,10:00 pm,11:00 pm,12:00 am
E1,01/01/2001,0.76145,0.65665,0.59425,0.5589,0.5349,0.55315,0.6141,0.68975,0.8135,0.8913,0.8605,0.88405,0.8961,0.8078,0.7638,0.7505,0.84325,1.07485,1.18395,1.1575,1.1121,1.0261,0.8327,0.6642
E1,01/02/2001,0.5545,0.52125,0.50305,0.4954,0.523,0.61045,0.7568,0.8417,0.82495,0.8036,0.74315,0.69175,0.6803,0.65875,0.63545,0.6617,0.7525,1.02385,1.1766,1.11765,1.0731,1.01525,0.83165,0.67135
E1,01/03/2001,0.57085,0.5237,0.5213,0.5199,0.5331,0.62995,0.82395,0.924,0.83245,0.7872,0.76145,0.7184,0.67855,0.6379,0.6383,0.65505,0.77625,1.0351,1.17815,1.1517,1.09615,1.00645,0.83105,0.6595
E1,01/04/2001,0.5785,0.52755,0.4911,0.49695,0.52555,0.6169,0.79285,0.91795,0.8425,0.75885,0.7204,0.66875,0.6218,0.61075,0.6139,0.60935,0.7317,0.99875,1.1096,1.07945,1.01225,0.9336,0.82325,0.66125
E1,01/05/2001,0.5726,0.5158,0.50365,0.50505,0.5283,0.63005,0.81845,0.8946,0.8396,0.80095,0.75865,0.72255,0.6715,0.64055,0.63235,0.6712,0.76795,0.9963,1.1196,1.0874,1.0155,0.9012,0.805,0.68235
E1,01/06/2001,0.5869,0.51445,0.50915,0.47835,0.5073,0.5476,0.6287,0.71605,0.8298,0.8815,0.85775,0.869,0.81285,0.78035,0.7397,0.71605,0.8261,1.05055,1.0924,1.11685,1.04185,0.92625,0.8425,0.73935
E1,01/07/2001,0.6086,0.5475,0.53035,0.4944,0.48305,0.5431,0.5998,0.71315,0.85555,0.9323,0.9346,0.9582,0.924,0.9123,0.87775,0.8589,0.9549,1.188,1.19405,1.18915,1.0792,0.96375,0.8239,0.64415
E1,01/08/2001,0.5186,0.4845,0.463,0.4492,0.4712,0.57375,0.742,0.8077,0.747,0.7553,0.74475,0.7218,0.6971,0.6977,0.6968,0.71965,0.819,1.0486,1.1484,1.1438,1.07465,0.9226,0.8192,0.68
E1,01/09/2001,0.5345,0.4919,0.48905,0.48445,0.4969,0.59615,0.7544,0.87605,0.7876,0.79315,0.73435,0.73685,0.7072,0.7121,0.71855,0.7691,0.84405,1.1046,1.1902,1.1478,1.0798,1.00365,0.8314,0.6698
E1,01/10/2001,0.5644,0.5115,0.48345,0.4698,0.4961,0.606,0.81425,0.85235,0.78775,0.7826,0.7471,0.74165,0.76405,0.72405,0.737,0.8091,0.8837,1.11925,1.18765,1.16485,1.0861,0.9784,0.82915,0.65185
E1,01/11/2001,0.5511,0.5066,0.49285,0.4825,0.4925,0.59805,0.76285,0.8697,0.78935,0.77665,0.79215,0.7825,0.7331,0.74235,0.76455,0.81245,0.9054,1.1156,1.208,1.14445,1.0551,0.97295,0.82235,0.68435
E1,01/12/2001,0.57685,0.5305,0.5046,0.4913,0.50625,0.60075,0.77725,0.85165,0.7965,0.77335,0.6986,0.67915,0.6955,0.6948,0.67515,0.67865,0.7688,0.98895,1.12025,1.08985,1.05415,0.9418,0.8187,0.70475
E1,01/13/2001,0.59075,0.54795,0.51165,0.4896,0.4951,0.5216,0.61815,0.71175,0.8331,0.86555,0.8854,0.82715,0.79215,0.76545,0.74885,0.77195,0.86125,1.11605,1.12415,1.0632,1.03365,0.92355,0.8342,0.7112
E1,01/14/2001,0.59125,0.55285,0.5016,0.46855,0.4793,0.5167,0.5702,0.6967,0.8536,0.88175,0.87175,0.9215,0.8561,0.81645,0.74245,0.73645,0.8459,1.06005,1.1147,1.1026,1.05895,0.9529,0.8456,0.71455
E1,01/15/2001,0.5944,0.539,0.5236,0.50485,0.5141,0.5865,0.6973,0.8084,0.93045,0.94725,0.9366,0.89975,0.8643,0.8304,0.8241,0.80305,0.8696,1.14465,1.2951,1.26905,1.1605,1.0484,0.868,0.68865
E1,01/16/2001,0.59705,0.54225,0.54245,0.52565,0.56055,0.66615,0.85885,0.9326,0.8264,0.79705,0.7085,0.6824,0.65935,0.66995,0.6502,0.63775,0.75695,1.0143,1.19135,1.19795,1.14105,1.0559,0.84745,0.7025
E1,01/17/2001,0.59255,0.5332,0.51545,0.5033,0.53385,0.67295,0.8841,0.9639,0.855,0.77785,0.711,0.67805,0.6214,0.58865,0.58575,0.63035,0.7139,0.9991,1.1287,1.1044,1.04855,0.9636,0.8667,0.68575
E1,01/18/2001,0.5976,0.5346,0.5346,0.5443,0.5619,0.6949,0.8906,0.9543,0.8559,0.77115,0.69435,0.6411,0.642,0.61855,0.6161,0.64665,0.77885,1.03555,1.158,1.1105,1.0998,0.98075,0.8254,0.65895
E1,01/19/2001,0.54425,0.49855,0.49075,0.49735,0.51375,0.57985,0.82665,0.93345,0.8306,0.76965,0.71485,0.6647,0.6587,0.629,0.6056,0.6047,0.7035,0.9204,1.0343,1.005,0.99635,0.8946,0.77365,0.6638
E1,01/20/2001,0.60235,0.5451,0.52125,0.48855,0.52325,0.5565,0.63105,0.767,0.8439,0.93165,0.8734,0.84525,0.8407,0.8103,0.7745,0.7616,0.8018,0.98705,1.0762,1.0541,1.0206,0.95055,0.83855,0.68125
E1,01/21/2001,0.59245,0.55645,0.51235,0.49625,0.4891,0.53855,0.6045,0.7614,0.8452,0.87905,0.8909,0.86665,0.87125,0.8052,0.7975,0.7854,0.8627,1.09205,1.1298,1.0822,1.0633,0.936,0.82495,0.6466
E1,01/22/2001,0.55865,0.49965,0.49235,0.47945,0.47995,0.58665,0.78945,0.88305,0.78965,0.77545,0.73855,0.63295,0.61255,0.58635,0.562,0.605,0.69975,0.95505,1.0717,1.0572,1.02095,0.92845,0.7814,0.6093
E1,01/23/2001,0.4986,0.47725,0.47205,0.47265,0.46525,0.55605,0.77345,0.8676,0.75095,0.72605,0.6517,0.66505,0.67165,0.6608,0.6669,0.735,0.8424,1.04895,1.1324,1.0896,1.06465,0.95595,0.8079,0.60325
E1,01/24/2001,0.51415,0.4771,0.46325,0.45085,0.4686,0.5477,0.7548,0.85805,0.8012,0.76715,0.7121,0.65205,0.62935,0.62965,0.63315,0.65595,0.71325,0.9906,1.11795,1.08785,1.04695,0.9512,0.79325,0.6375
E1,01/25/2001,0.55855,0.5144,0.49515,0.49,0.5003,0.60035,0.79775,0.90565,0.80615,0.7382,0.69515,0.6974,0.68215,0.7336,0.71725,0.7757,0.8551,1.04725,1.1969,1.15755,1.09095,1.00965,0.8551,0.68485
